"species_relationship","X2","Outflow","Inflow","Unimpaired_runoff"
"Longfin Smelt",0.66971282377523,0.638120774973807,0.640502541571826,0.513054919535577
"Striped Bass",0.00122852230555949,0.00125280224884943,0.00226424293445271,0.0237064548883846
"Splittail",0.248837862574485,0.299743882923535,0.304156484798923,0.126249013430989
